JOB_ID,ISO_YEAR,ISO_WEEK,CONTACTED,POS_RESPONSE,REC_SCREENS,ACTUAL_SCREENS,ATS,ONSITE,CULTURE,CALL_W_CLIENT,OFFERED,HIRED
1768306565902x724842074782040000,2026,3,90,49,48,20,9,5,0,0,0,0
1768306565902x724842074782040000,2026,4,310,54,47,29,0,0,0,0,0,0
1768306565902x724842074782040000,2026,5,20,11,5,1,2,1,0,0,1,1
1768306565902x724842074782040000,2026,6,54,12,8,2,0,0,0,0,0,0
1768306565902x724842074782040000,2026,11,0,2,0,0,0,0,0,0,0,0
1768306734822x675449727333433300,2026,3,59,27,24,17,4,4,0,0,0,0
1768306734822x675449727333433300,2026,4,148,33,29,13,1,0,0,0,0,0
1768306734822x675449727333433300,2026,5,3,8,2,0,0,0,0,0,0,0
1768306734822x675449727333433300,2026,6,33,7,2,0,0,0,0,0,0,0
1769763000086x563212577333575700,2026,5,2,2,2,2,1,0,0,0,0,0
1769763000086x563212577333575700,2026,6,2,1,2,2,0,0,0,0,0,0
1769763000086x563212577333575700,2026,7,32,0,0,0,0,0,0,0,0,0
1769763000086x563212577333575700,2026,8,45,0,0,0,0,0,0,0,0,0
1769763000086x563212577333575700,2026,9,52,7,6,0,0,0,0,0,0,0
1769763000086x563212577333575700,2026,10,1,23,16,3,3,3,1,0,0,0
1770201984452x484427760080519200,2026,6,102,5,2,0,0,0,0,0,0,0
1770201984452x484427760080519200,2026,9,0,1,0,0,0,0,0,0,0,0
1770631916672x291420469021638660,2026,7,123,18,11,10,0,0,0,0,0,0
1770631916672x291420469021638660,2026,8,22,11,8,6,0,2,0,0,0,0
1770631916672x291420469021638660,2026,9,0,1,0,0,0,0,0,0,0,0
1770631916672x291420469021638660,2026,10,0,1,0,0,2,0,2,2,0,0
1770728747086x464603093874769900,2026,7,134,14,10,2,2,0,0,0,0,0
1770728747086x464603093874769900,2026,8,126,37,28,22,5,3,0,0,0,0
1770728747086x464603093874769900,2026,9,3,7,4,7,3,1,0,0,0,0
1770728747086x464603093874769900,2026,10,0,0,0,0,2,0,2,2,1,1
1771257786943x368258027107123200,2026,8,94,3,2,2,2,0,0,0,0,0
1771257786943x368258027107123200,2026,9,110,4,3,0,0,0,0,0,0,0
1771257786943x368258027107123200,2026,10,33,2,0,0,0,0,0,0,0,0
1771257786943x368258027107123200,2026,11,31,1,1,0,0,0,0,0,0,0
1771257786943x368258027107123200,2026,14,0,2,0,0,0,0,0,0,0,0
1771584578545x240061323429806080,2026,9,3,2,1,1,1,1,0,0,1,0
1771584578545x240061323429806080,2026,10,0,0,0,0,0,0,0,0,0,1
1774438158210x293659973868847100,2026,13,34,14,12,0,0,0,0,0,0,0
1774438224107x261502970568376320,2026,13,5,5,5,5,0,0,0,0,0,0
1774613979789x325982928044294140,2026,13,73,3,2,0,0,0,0,0,0,0
1774613979789x325982928044294140,2026,14,118,44,28,3,1,0,0,0,0,0
1774613979789x325982928044294140,2026,15,0,6,4,0,0,0,0,0,0,0
1774613979789x325982928044294140,2026,17,0,1,0,0,0,0,0,0,0,0
1776243815411x739667639709990900,2026,16,196,53,20,5,1,0,0,0,0,0
1776243815411x739667639709990900,2026,17,180,78,54,20,5,0,0,0,0,0
1776243815411x739667639709990900,2026,18,7,7,7,8,2,0,0,0,0,0
1777294001849x171347644691513340,2026,18,70,3,1,0,0,0,0,0,0,0
