TS,CAND,EVENT_ID,CLIENT,JOB_ID,STAGE,TYPE,BY,NOW,HIRE_DATE
2026-08-21 12:53:03.529,1787316782292x808487496241643500,1787316783878x307561324098498400,Parloa,1787138407054x335827605243035650,Contacted,Contacted,Filip Nogowski,Interview 1,
2026-08-21 12:53:03.529,1787316782292x808487496241643500,1787316785543x646264729454996400,Parloa,1787138407054x335827605243035650,Interview 1,Interview 1,Filip Nogowski,Interview 1,
2026-08-21 12:53:03.529,1787316782292x808487496241643500,1787316784875x812432703207585900,Parloa,1787138407054x335827605243035650,Moved to ATS,Offsite,Filip Nogowski,Interview 1,
2026-08-21 12:53:03.529,1787316782292x808487496241643500,1787316784179x939821963026083800,Parloa,1787138407054x335827605243035650,Positive response,Positive Response,Filip Nogowski,Interview 1,
2026-08-21 12:53:03.529,1787316782292x808487496241643500,1787316784442x879477816270691300,Parloa,1787138407054x335827605243035650,Recruiter Screen,Recruiter Screen,Filip Nogowski,Interview 1,
2026-08-21 12:53:59.909,1787316838947x600135686392643600,1787316840194x673557841803502500,Parloa,1787138407054x335827605243035650,Contacted,Contacted,Filip Nogowski,Interview 1,
2026-08-21 12:53:59.909,1787316838947x600135686392643600,1787316840267x955537927113417900,Parloa,1787138407054x335827605243035650,Interview 1,Interview 1,Filip Nogowski,Interview 1,
2026-08-21 12:53:59.909,1787316838947x600135686392643600,1787316842532x869608575917285100,Parloa,1787138407054x335827605243035650,Interview 1,Interview 1,Filip Nogowski,Interview 1,
2026-08-21 12:53:59.909,1787316838947x600135686392643600,1787316841712x825381529377696300,Parloa,1787138407054x335827605243035650,Moved to ATS,Offsite,Filip Nogowski,Interview 1,
2026-08-21 12:53:59.909,1787316838947x600135686392643600,1787316840444x668397217640780700,Parloa,1787138407054x335827605243035650,Positive response,Positive Response,Filip Nogowski,Interview 1,
2026-08-21 12:53:59.909,1787316838947x600135686392643600,1787316840839x152376278335055740,Parloa,1787138407054x335827605243035650,Recruiter Screen,Recruiter Screen,Filip Nogowski,Interview 1,
2026-08-21 12:55:35.355,1787316934422x293323467592826900,1787316935587x764226970049317600,Parloa,1787138407054x335827605243035650,Contacted,Contacted,Filip Nogowski,Interview 1,
2026-08-21 12:55:35.355,1787316934422x293323467592826900,1787316937350x179754271513963070,Parloa,1787138407054x335827605243035650,Interview 1,Interview 1,Filip Nogowski,Interview 1,
2026-08-21 12:55:35.355,1787316934422x293323467592826900,1787316936964x638321265341882000,Parloa,1787138407054x335827605243035650,Moved to ATS,Offsite,Filip Nogowski,Interview 1,
