TIMESTAMP_UTC,CANDIDATE_ID,CLIENT,JOB_ID,CREATED_BY,EVENTS_AT_SAME_TIMESTAMP,STAGES_WRITTEN,CANDIDATE_STAGE_NOW,PHANTOM_HIRED,REAL_HIRE_DATE
2026-08-24 15:12:19.333,1787584334350x527258296779677060,AVIV ,1786094117912x748763187480100900,Rodrigo Gomes,11,Hired | Interview 1 | Interview 2 | Interview 3 | Moved to ATS | Offer | Positive response | Recruiter Screen | Technical Interview ,Sequence,YES,
2026-08-24 15:18:17.174,1787584693383x563619861047675460,AVIV ,1786094117912x748763187480100900,Rodrigo Gomes,11,Hired | Interview 1 | Interview 2 | Interview 3 | Moved to ATS | Offer | Positive response | Recruiter Screen | Technical Interview ,Sequence,YES,
2026-08-24 15:19:41.303,1787584777112x448069909683182600,AVIV ,1786094117912x748763187480100900,Rodrigo Gomes,11,Hired | Interview 1 | Interview 2 | Interview 3 | Moved to ATS | Offer | Positive response | Recruiter Screen | Technical Interview ,Sequence,YES,
2026-08-24 15:20:37.826,1787584833715x670129620867320700,AVIV ,1786094117912x748763187480100900,Rodrigo Gomes,11,Hired | Interview 1 | Interview 2 | Interview 3 | Moved to ATS | Offer | Positive response | Recruiter Screen | Technical Interview ,Sequence,YES,
2026-08-24 15:21:24.323,1787584879968x336510195884143900,AVIV ,1786094117912x748763187480100900,Rodrigo Gomes,11,Hired | Interview 1 | Interview 2 | Interview 3 | Moved to ATS | Offer | Positive response | Recruiter Screen | Technical Interview ,Sequence,YES,
2026-08-25 06:27:16.126,1787639234958x940179740232777700,Voize,1786608316958x994010874159300600,Mariam Chkhikvadze,4,Contacted | Moved to ATS | Positive response | Recruiter Screen,Moved to ATS,no,
2026-08-25 06:27:52.394,1787639271444x476613153398194200,Voize,1786608316958x994010874159300600,Mariam Chkhikvadze,4,Contacted | Moved to ATS | Positive response | Recruiter Screen,Moved to ATS,no,
2026-08-25 06:28:52.436,1787639331295x751409967834071000,Voize,1786608316958x994010874159300600,Mariam Chkhikvadze,4,Contacted | Moved to ATS | Positive response | Recruiter Screen,Moved to ATS,no,
2026-08-25 06:29:22.908,1787639361720x329773256278016000,Voize,1786608316958x994010874159300600,Mariam Chkhikvadze,4,Contacted | Moved to ATS | Positive response | Recruiter Screen,Moved to ATS,no,
2026-08-25 06:29:59.635,1787639398760x785728571526611000,Voize,1786608316958x994010874159300600,Mariam Chkhikvadze,4,Contacted | Moved to ATS | Positive response | Recruiter Screen,Moved to ATS,no,
2026-08-25 06:30:37.507,1787639436482x678161464658231300,Voize,1786608316958x994010874159300600,Mariam Chkhikvadze,4,Contacted | Moved to ATS | Positive response | Recruiter Screen,Moved to ATS,no,
2026-08-25 06:32:28.050,1787639547226x275909426903777280,Voize,1786608316958x994010874159300600,Mariam Chkhikvadze,4,Contacted | Moved to ATS | Positive response | Recruiter Screen,Moved to ATS,no,
2026-08-25 09:12:00.824,1787649113304x787001087888648000,AVIV ,1786094117912x748763187480100900,Rodrigo Gomes,11,Hired | Interview 1 | Interview 2 | Interview 3 | Moved to ATS | Offer | Positive response | Recruiter Screen | Technical Interview ,Sequence,YES,
2026-08-25 09:14:38.498,1787649273761x119155258640502910,AVIV ,1786094117912x748763187480100900,Rodrigo Gomes,11,Hired | Interview 1 | Interview 2 | Interview 3 | Moved to ATS | Offer | Positive response | Recruiter Screen | Technical Interview ,Sequence,YES,
2026-08-25 12:26:33.560,1787660625996x101526259574434620,AVIV ,1775125002560x755091190743302100,Rodrigo Gomes,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 12:26:33.578,1787660645987x188165961616687520,AVIV ,1775125002560x755091190743302100,Rodrigo Gomes,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 12:26:33.640,1787660609102x130098441074328660,AVIV ,1775125002560x755091190743302100,Rodrigo Gomes,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 12:26:33.747,1787660728007x116323527107860210,AVIV ,1775125002560x755091190743302100,Rodrigo Gomes,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 12:26:33.887,1787660700102x880959889963950000,AVIV ,1775125002560x755091190743302100,Rodrigo Gomes,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 12:26:33.986,1787660577877x583693118346953000,AVIV ,1775125002560x755091190743302100,Rodrigo Gomes,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 12:26:33.991,1787660563115x542571473748957500,AVIV ,1775125002560x755091190743302100,Rodrigo Gomes,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 12:26:34.073,1787660598012x615819403311613800,AVIV ,1775125002560x755091190743302100,Rodrigo Gomes,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 12:26:34.158,1787660669468x664393471924289400,AVIV ,1775125002560x755091190743302100,Rodrigo Gomes,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 12:27:56.379,1787660420319x401535750024717200,AVIV ,1775125002560x755091190743302100,Rodrigo Gomes,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 12:27:56.508,1787660436799x196253066016794720,AVIV ,1775125002560x755091190743302100,Rodrigo Gomes,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 12:27:56.662,1787660448503x886403247662380400,AVIV ,1775125002560x755091190743302100,Rodrigo Gomes,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 12:27:56.754,1787660508479x301371042529075000,AVIV ,1775125002560x755091190743302100,Rodrigo Gomes,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 12:27:56.771,1787660482385x600183287405154700,AVIV ,1775125002560x755091190743302100,Rodrigo Gomes,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 12:27:56.813,1787660465670x579862064075541600,AVIV ,1775125002560x755091190743302100,Rodrigo Gomes,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 12:27:56.832,1787660547804x579149676137883100,AVIV ,1775125002560x755091190743302100,Rodrigo Gomes,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 12:27:56.887,1787660402699x728391857897184900,AVIV ,1775125002560x755091190743302100,Rodrigo Gomes,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 12:27:56.940,1787660385772x970521601976845000,AVIV ,1775125002560x755091190743302100,Rodrigo Gomes,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
