JOB_ID,YM
1769701086705x822539239012434000,2026-02
1729000140791x250961570551562240,2026-02
1762252120988x575823447911301100,2026-01
1767675755404x917962040101044200,2026-03
1771594439498x659665988139876400,2026-03
1729000140791x250961570551562240,2026-03
1772802693317x643077145620381700,2026-03
1758529227458x187488425396142080,2026-03
1764653541290x705128690803277800,2026-02
1769597623821x642639979457019900,2026-02
1766491776973x990073586951127000,2026-01
1758529227458x187488425396142080,2026-02
1761038810981x427879014152536060,2026-01
1774538424889x170536098856960000,2026-04
1768980743242x265135202009350140,2026-03
1767713595713x165740410548518900,2026-03
1764848976979x161783343491055600,2026-03
1769519564410x301316401749032960,2026-02
1763393512767x549692745513173000,2026-03
1765964544602x935500253115973600,2026-01
1766667939306x140760695436738560,2026-02
1770818202343x768840661550235600,2026-02
1767621266472x428297455735668740,2026-01
1763735699204x490577880536842200,2026-03
1762960947781x993372702578311200,2026-03
1767881709829x173124899950559230,2026-03
1765277865484x817897032379269100,2026-01
1760281065538x811562236048310300,2026-02
1760953316593x500187053740523500,2026-01
1760439998909x282714782196039680,2026-01
1768557536533x655414581658910700,2026-02
1761219503998x816374397525295100,2026-03
1768306565902x724842074782040000,2026-01
1738932886963x576896939005050900,2026-02
1760524380447x603301710509375500,2026-01
1758275389876x889770834029969400,2026-01
1757071628441x264788972532400130,2026-01
1774023134055x629061544645230600,2026-03
1763370468139x167574670811856900,2026-01
1762943671502x870278496041042000,2026-01
1759236982158x599110726735888400,2026-01
1760713537373x704406402013331500,2026-02
1771594439498x659665988139876400,2026-02
1709198203645x763063089164189700,2026-03
1759475471549x753843173350441000,2026-02
1709801511120x673595589524193300,2026-02
1769431287668x418349861038981100,2026-03
1759833890044x930035712747110400,2026-03
1769519870970x340364602799292400,2026-02
1759303358911x861124600793399300,2026-01
1760105509112x573188684436733950,2026-01
1707820408012x103296194272296960,2026-03
1760535523326x321490987868749800,2026-02
1761566918893x767766274399535100,2026-03
1770378942910x625501068122652700,2026-03
1763358128612x223705266995593200,2026-04
1770926699231x341904417161216000,2026-04
1771283284938x228192158190665730,2026-04
1709801511120x673595589524193300,2026-01
1769701024383x396838718197202940,2026-03
1770040562833x794297057542668300,2026-03
1772113417850x781928030718656500,2026-02
1772797740165x677739617400913900,2026-03
1766667939306x140760695436738560,2026-01
1761727573047x620595660820316200,2026-02
1762857268529x442663948357468160,2026-01
1765554206499x476548818528108540,2026-01
1757071628441x264788972532400130,2026-03
1760105762439x342693964201852900,2026-03
1707820408012x103296194272296960,2026-01
1767174268097x543133653435940860,2026-02
1771222981603x583196503150166000,2026-02
1770818039020x685779221544960000,2026-02
1761210413697x212805827988291600,2026-02
1709801577805x203510516790329340,2026-03
1738932938860x547200228259266600,2026-01
1760535523326x321490987868749800,2026-01
1769981851834x322731975783219200,2026-03
1772216240739x325241842932121600,2026-04
1763455334935x160434342905774080,2026-01
1762430736834x652629641794682900,2026-02
1769098481317x378812501440856060,2026-03
1765812267512x563701614211760100,2026-01
1762319532396x864588410687324200,2026-01
1765184607275x404972844064440300,2026-03
1759236323615x126237561580158980,2026-03
1764842214274x760758700418793500,2026-03
1772187860944x479761207964205060,2026-04
1769169412044x823192598469935100,2026-02
1756807215018x321280600282234900,2026-01
1760105762439x342693964201852900,2026-02
